X,C_W1,C_W2,t,N
2075.0,0.0,0.0,0.041666666666666664,10.0
2149.6875,0.0,0.0,0.08333333333333333,10.0
2224.0638020833335,0.0,0.0,0.125,10.0
2298.130202907986,0.0,0.0,0.16666666666666666,10.0
2371.8879937292027,0.0,0.0,0.20833333333333331,10.0
2445.3384604219978,0.0,0.0,0.24999999999999997,10.0
2518.482883503573,0.0,0.0,0.29166666666666663,10.0
2591.3225381556413,0.0,0.0,0.3333333333333333,10.0
2663.8586942466595,0.0,0.0,0.375,10.0
2736.0926163539652,0.0,0.0,0.4166666666666667,10.0
2808.0255637858236,0.0,0.0,0.45833333333333337,10.0
2879.658790603383,0.0,0.0,0.5,10.0
2950.9935456425355,0.0,0.0,0.5416666666666666,10.0
3022.0310725356917,0.0,0.0,0.5833333333333333,10.0
3092.77260973346,0.0,0.0,0.6249999999999999,10.0
3163.219390526237,0.0,0.0,0.6666666666666665,10.0
3233.372643065711,0.0,0.0,0.7083333333333331,10.0
3303.233590386271,0.0,0.0,0.7499999999999998,10.0
3372.8034504263283,0.0,0.0,0.7916666666666664,10.0
3442.083436049552,0.0,0.0,0.833333333333333,10.0
3511.074755066012,0.0,0.0,0.8749999999999997,10.0
3579.7786102532373,0.0,0.0,0.9166666666666663,10.0
3648.196199377182,0.0,0.0,0.9583333333333329,10.0
3716.32871521311,0.0,0.0,0.9999999999999996,10.0
3784.177345566389,0.0,0.0,1.0416666666666663,10.0
3851.7432732931957,0.0,0.0,1.083333333333333,10.0
3919.0276763211405,0.0,0.0,1.1249999999999998,10.0
3986.0317276698024,0.0,0.0,1.1666666666666665,10.0
4052.756595471178,0.0,0.0,1.2083333333333333,10.0
4101.685001136128,0.0,0.0,1.25,10.0
4149.514953207178,0.0,0.0,1.2916666666666667,10.0
4196.233549554164,0.0,0.0,1.3333333333333335,10.0
4241.82833015068,0.0,0.0,1.3750000000000002,10.0
4286.287267659814,0.0,0.0,1.416666666666667,10.0
4329.598764002439,0.0,0.0,1.4583333333333337,10.0
4371.751638007744,0.0,0.0,1.5000000000000004,10.0
4412.735142803531,0.0,0.0,1.5416666666666672,10.0
4452.538921552604,0.0,0.0,1.583333333333334,10.0
4491.153046140379,0.0,0.0,1.6250000000000007,10.0
4528.567957621369,0.0,0.0,1.6666666666666674,10.0
4564.774506991201,0.0,0.0,1.7083333333333341,10.0
4599.763965806149,0.0,0.0,1.7500000000000009,10.0
4633.527974863854,0.0,0.0,1.7916666666666676,10.0
4666.05853401894,0.0,0.0,1.8333333333333344,10.0
4697.348086438247,0.0,0.0,1.875000000000001,10.0
4727.38934508353,0.0,0.0,1.9166666666666679,10.0
4756.175471746009,0.0,0.0,1.9583333333333346,10.0
4783.6999659073,0.0,0.0,2.0000000000000013,10.0
4809.956667214707,0.0,0.0,2.041666666666668,10.0
4834.939771980994,0.0,0.0,2.0833333333333344,10.0
4858.643822150447,0.0,0.0,2.125000000000001,10.0
4881.063687429659,0.0,0.0,2.1666666666666674,10.0
4902.194607777356,0.0,0.0,2.208333333333334,10.0
4922.032136790899,0.0,0.0,2.2500000000000004,10.0
4940.572177337739,0.0,0.0,2.291666666666667,10.0
4957.81088368874,0.0,0.0,2.3333333333333335,10.0
4973.744767315708,0.0,0.0,2.375,10.0
4988.370647905853,0.0,0.0,2.4166666666666665,10.0
5001.685725480042,0.0,0.0,2.458333333333333,10.0
5013.687378685506,0.0,0.0,2.4999999999999996,10.0
5024.373305356729,0.0,0.0,2.541666666666666,10.0
